Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005359,Т2,A0005359_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6377_30399,,960005359,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005359,ТО,A0005359_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6375_30399,,960005359,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005360,Т1,A0005360_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6373_30400,,960005360,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005360,Т2,A0005360_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6374_30400,,960005360,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005360,ТО,A0005360_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0205,6372_30400,,960005360,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005361,Т1,A0005361_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0205,6276_30401,,960005361,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005361,Т2,A0005361_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6277_30401,,960005361,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005361,ТО,A0005361_ТО,"4,000","2,000",Техническое обслуживание,1100,100,1-0205,6275_30401,,960005361,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005362,Т1,A0005362_Т1,"6,000","6,000",Текущий ремонт 1,1100,100,1-0205,6370_30402,,960005362,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005362,Т2,A0005362_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0205,6371_30402,,960005362,4,12/7/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
